N,q,log2_q,fully_split,problem,l_M,k_s,n_c,B,distribution,dist_sd,n_LWE,m_LWE,n_SIS,m_SIS,mode,hiding_attack,hiding_log2_rop,hiding_log2_red,hiding_log2_mem,hiding_bkz_beta,hiding_beta,hiding_tag,binding_attack,binding_norm,binding_log2_rop,binding_bkz_beta,binding_beta,inf_binding_log2_rop,inf_binding_attack,inf_binding_log2_red,inf_binding_log2_mem,inf_binding_d,l2_binding_log2_rop,l2_binding_attack,l2_binding_log2_red,l2_binding_log2_mem,l2_binding_d,opening_length,random_length,s_SW,smallwood_rows,range_degree,range_grade,accepted,rejection_reason,notes
256,7681,12.907,true,commitment_hiding+binding,1,1,1,8,uniform,4.89898,256,256,256,768,rough,usvp,71.832,71.832,,512,246,usvp,,,,,,,,,,,,,,,,768,512,16,48.000,17,direct,no,hiding below target; binding failed,
256,7681,12.907,true,commitment_hiding+binding,1,1,1,16,uniform,9.5219,256,256,256,768,rough,usvp,97.820,97.820,,512,335,usvp,,,,,,,,,,,,,,,,768,512,16,48.000,33,direct,no,hiding below target; binding failed,
256,7681,12.907,true,commitment_hiding+binding,1,1,2,8,uniform,4.89898,256,512,512,1024,rough,usvp,67.160,67.160,,601,230,usvp,,,,,,,,,,,,,,,,1024,768,16,64.000,17,direct,no,hiding below target; binding failed,
256,7681,12.907,true,commitment_hiding+binding,1,1,2,16,uniform,9.5219,256,512,512,1024,rough,usvp,85.556,85.556,,650,293,usvp,,,,,,,,,,,,,,,,1024,768,16,64.000,33,direct,no,hiding below target; binding failed,
256,7681,12.907,true,commitment_hiding+binding,1,1,3,8,uniform,4.89898,256,768,768,1280,rough,usvp,67.160,67.160,,601,230,usvp,,,,,,,,,,,,,,,,1280,1024,16,80.000,17,direct,no,hiding below target; binding failed,
256,7681,12.907,true,commitment_hiding+binding,1,1,3,16,uniform,9.5219,256,768,768,1280,rough,usvp,85.556,85.556,,650,293,usvp,,,,,,,,,,,,,,,,1280,1024,16,80.000,33,direct,no,hiding below target; binding failed,
256,7681,12.907,true,commitment_hiding+binding,1,2,1,8,uniform,4.89898,512,256,256,1024,rough,dual_hybrid,254.832,236.907,,,511,,lattice,l2,105.996,734,363,151.840,lattice,151.840,,1023,105.996,lattice,105.996,,734,1024,768,16,64.000,17,direct,no,binding below target,
256,7681,12.907,true,commitment_hiding+binding,1,2,1,16,uniform,9.5219,512,256,256,1024,rough,dual_hybrid,678.314,370.046,,,511,,lattice,l2,77.380,660,265,111.836,lattice,111.836,,1023,77.380,lattice,77.380,,660,1024,768,16,64.000,33,direct,no,binding below target,
256,7681,12.907,true,commitment_hiding+binding,1,2,2,8,uniform,4.89898,512,512,512,1280,rough,usvp,162.936,162.936,,1024,558,usvp,lattice,l2,269.808,1280,924,362.664,lattice,362.664,,1280,269.808,lattice,269.808,,1280,1280,1024,16,80.000,17,direct,yes,,
