N,q,log2_q,fully_split,problem,l_M,k_s,n_c,B,distribution,dist_sd,n_LWE,m_LWE,n_SIS,m_SIS,mode,hiding_attack,hiding_log2_rop,hiding_log2_red,hiding_log2_mem,hiding_bkz_beta,hiding_beta,hiding_tag,binding_attack,binding_norm,binding_log2_rop,binding_bkz_beta,binding_beta,inf_binding_log2_rop,inf_binding_attack,inf_binding_log2_red,inf_binding_log2_mem,inf_binding_d,l2_binding_log2_rop,l2_binding_attack,l2_binding_log2_red,l2_binding_log2_mem,l2_binding_d,opening_length,random_length,s_SW,smallwood_rows,range_degree,range_grade,accepted,rejection_reason,notes
256,1054721,20.008,true,commitment_hiding+binding,1,1,1,8,uniform,4.89898,256,256,256,768,rough,usvp,28.032,28.032,,507,96,usvp,,,,,,,,,,,,,,,,768,512,16,48.000,17,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,1,16,uniform,9.5219,256,256,256,768,rough,usvp,35.624,35.624,,509,122,usvp,,,,,,,,,,,,,,,,768,512,16,48.000,33,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,2,8,uniform,4.89898,256,512,512,1024,rough,usvp,26.280,26.280,,578,90,usvp,,,,,,,,,,,,,,,,1024,768,16,64.000,17,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,2,16,uniform,9.5219,256,512,512,1024,rough,usvp,32.412,32.412,,594,111,usvp,,,,,,,,,,,,,,,,1024,768,16,64.000,33,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,3,8,uniform,4.89898,256,768,768,1280,rough,usvp,26.280,26.280,,578,90,usvp,,,,,,,,,,,,,,,,1280,1024,16,80.000,17,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,3,16,uniform,9.5219,256,768,768,1280,rough,usvp,32.412,32.412,,594,111,usvp,,,,,,,,,,,,,,,,1280,1024,16,80.000,33,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,4,8,uniform,4.89898,256,1024,1024,1536,rough,usvp,26.280,26.280,,578,90,usvp,,,,,,,,,,,,,,,,1536,1280,16,96.000,17,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,4,16,uniform,9.5219,256,1024,1024,1536,rough,usvp,32.412,32.412,,594,111,usvp,,,,,,,,,,,,,,,,1536,1280,16,96.000,33,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,5,8,uniform,4.89898,256,1280,1280,1792,rough,usvp,26.280,26.280,,578,90,usvp,,,,,,,,,,,,,,,,1792,1536,16,112.000,17,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,5,16,uniform,9.5219,256,1280,1280,1792,rough,usvp,32.412,32.412,,594,111,usvp,,,,,,,,,,,,,,,,1792,1536,16,112.000,33,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,6,8,uniform,4.89898,256,1536,1536,2048,rough,usvp,26.280,26.280,,578,90,usvp,,,,,,,,,,,,,,,,2048,1792,16,128.000,17,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,6,16,uniform,9.5219,256,1536,1536,2048,rough,usvp,32.412,32.412,,594,111,usvp,,,,,,,,,,,,,,,,2048,1792,16,128.000,33,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,8,8,uniform,4.89898,256,2048,2048,2560,rough,usvp,26.280,26.280,,578,90,usvp,,,,,,,,,,,,,,,,2560,2304,16,160.000,17,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,8,16,uniform,9.5219,256,2048,2048,2560,rough,usvp,32.412,32.412,,594,111,usvp,,,,,,,,,,,,,,,,2560,2304,16,160.000,33,direct,no,hiding below target; binding failed,
256,1054721,20.008,true,commitment_hiding+binding,1,1,10,8,uniform,4.89898,256,2560,2560,3072,rough,usvp,26.280,26.280,,578,90,usvp,,,,,,,,,,,,,,,,3072,2816,16,192.000,17,direct,no,hiding below target; binding failed,
